표준 번호,표준 제정 번호,표준 분류,표준 명,표준 상태,제정 년도,제정기관 표준이력,관련 사이트,표준 개요,표준 요약
MND-3GPP-LTE,"LTE (Long Term Evolution) or the E-UTRAN (Evolved Universal Terrestrial Access Network), introduced ",DITA 2023 v3,LTE,미래(Emerging),3GPP,www.3gpp.org/technologies/keywords-acronyms/98-lte,"본 표준은 3세대 이동통신(3G)을 장기적으로 진화 시킨 기술이라는 뜻에서 롱텀에볼루션(long term evolution)의 머리글자를 딴 것으로, 3GPP가 2008년 12월 확정한 표준규격 릴리스(Release) 을 기반으로 함",생략,생략
MND-ACP 123 Edition A,"Common Messaging Strategy and Procedures, 15 August 1997",DITA 2023 v3,ACP123,필수(Mandated),CCEB,www.ietf.org/rfc/rfc6477.txt,"ACP(Allied Communication Publication) 123 문서는 국방 전자 메시지를 지원하는 서비스와 프로토콜 그리고 절차를 정의하며, 이를 위해 X.400을 확장시키고 Military Messaging Elements of Service(EoS)의 절차 및 프로토콜을 정의함.",생략,생략
MND-ANSI X3.230:1999,"Fibre Channel - Physical and Signaling Interface (FC-PH), with amendments, 24 May 1999",DITA 2023 v3,Fibre Channel,필수(Mandated),ANSI,webstore.ansi.org/RecordDetail.aspx?sku=ANSIINCITS230-1994%2fAM2-1999,"이 표준은 스토리지 영역 네트워크를 구축하기 위해 사용되는 광채널의 물리적, 신호 인터페이스에 관한 명세를 포함한다.",생략,생략
MND-ANSI X9.62,"Public Key Cryptography for the Financial Services Industry, The Elliptic Curve Digital Signature Al",DITA 2023 v3,암호화,필수(Mandated),ANSI,webstore.ansi.org/FindStandards.aspx?SearchString=X9.62&SearchOption=0&PageNum=0&SearchTermsArray=null%7cX9.62%7cnull,본 표준은 ECDSA를 사용하여 메시지 및 데이터 보호를 위한 서명 생성 및 검증 방법을 정의한다.,생략,생략
MND-ANSI/IEEE 754-1985,"Binary Floating-Point Arithmetic, March 21, 1985",DITA 2023 v3,Binary Floating Point,필수(Mandated),ANSI,webstore.ansi.org/default.aspx,본 표준은 2진 유동 소수점 데이터의 전송을 위한 필수 규격으로서 TADIL J와 Variable Message Format(VMF)등의 기타 JTA 표준에 의해 다루어지지 않은 경 우에 사용됨.,생략,생략
MND-ANSI/NIST-ITL 1-2011,Information Technology: American National Standard for Information Systems -- Data Format  for the I,DITA 2023 v3,생체인식,필수(Mandated),ANSI,webstore.ansi.org/default.aspx,"본 표준은 다른 제조사에 의해 만들어진 이종의 시스템간 또는 통제된 시스템에서 효과적으로 지문, 얼굴형상, 흉터, 문신정보의 식별 데이터를 교환하기 위해 사용되는 공통 포맷을 제시함.",생략,생략
MND-ARINC 718A-3,"Mark 4, Air Traffic Control Transponder (ATCRBS/Mode-S), May 2010",DITA 2023 v3,Mark4,필수(Mandated),ARIN,www.arinc.com,마크 4 항공 교통 관제 트랜스폰더(ATCRBS/모드-S)는 확장된 인터페이스 기능(EIF)를 가진 공중 교통 관제 레이더 비콘 시스템/모드 선택(ATCRBS/모드-S) 항공 트랜스폰더를 설명함.,생략,생략
MND-ARINC 735A-1,"Mark 2 Traffic Alert and Collision Avoidance System (TCAS), January 2003",DITA 2023 v3,항공통신,필수(Mandated),ARIN,www.arinc.com/cf/store/catalog_detail.cfm?item_id=109,"항속거리, 고도 방위각을 계산하고 비행충돌을 방지하기 위한 비행체의 궤도를 모니터링 할 수 있는 시스템인 TCAS이 RTCA DO-185A 표준을 적용이 되도록 업데이트 한 내용을 정의",생략,생략
MND-ATIS 0300208.2013,"Operations, Administration, Maintenance, and Provisioning (OAM&P) - Upper-Layer Protocols for Teleco",DITA 2023 v3,TMN,사양(Retired),ANSI,webstore.ansi.org/RecordDetail.aspx?sku=ATIS-0300208.2013,본 표준은 네트워크 요소와 운영 지원 시스템 사이에서 OAM&ampP (Operations Administration Maintenance and Provisioning) 기능을 제공하는 통신 관리네트워크(TMN) 용 Upper Layer Protocols에 관한 표준임.&ltbr type=&quot_moz&quot /&gt,생략,생략
MND-ATIS 0600107.2002,"Digital Hierarchy - Formats Specifications, 2002",DITA 2023 v3,SONET,필수(Mandated),ANSI,webstore.ansi.org/RecordDetail.aspx?sku=ATIS-0600107.2002(S2015),본 표준은 동기식 광통신망 (Synchronous Optical Network Transmission : SONET)에서 광섬유 케이블을 통한 통신 전송 표준 중 디지털 계위 형식 설명에 기술 임.,생략,생략
