규격서명,규격종류,양산완료일자,제정기관,재고번호(NSN),부품관리번호,품명,적용장비명,구규격번호,ICS코드,공개여부,형상관리책임기관,조달예비판단담당,국산화개발상태,대체규격번호,하위품목수,제정일자,최종개정일자,폐지일자,도면번호,최종적합성검토일자,상태,최종개정차수
"덮개, 안테나용용",KDS (국방/정식),,방위사업청,,1005M51055352,,20밀리 대공포,,59.080.99,전체공개,,미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,5,1978-05-30,2023-12-06,,A70009871,2024-03-04,활성,9
덮개,KDS (국방/정식),,방위사업청,1005004859658,1005M51687617,덮개,20밀리 대공포,,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,2,1978-10-30,2020-11-23,,A70006991,2012-03-12,활성,7
크랭크,KDS (국방/정식),,해군,5342001583743,5342M51902525,크랭크,"20밀리 대공포, 함정용",,95.020,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,1,1979-08-01,2022-10-13,,N1583743,2022-12-19,활성,2
조준경휴대주머니,KDS (국방/정식),,방위사업청,1240004410471,1240M51386317,"덮개,사격통제 기재용",90밀리 무반동총,,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,2,1979-03-31,2017-02-28,,70001568,2024-03-04,활성,3
"기관총(5.56MM,K3) 운반용 케이스",KDS (국방/정식),,국방과학연구소,1080375010180,1080M51073126,"케이스,운반용",5.56밀리 기관총(K3),,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,18,1988-09-20,2021-01-25,,20024282,2024-03-04,활성,2
"창, 광학기구용",KDC (국방/약식),,육군,1240005406185,1240M51725518,"창,광학기구용","전차, 전투용, 무한궤도식(M48A3,M48A5 공통)",,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전차담당,,,1,2007-06-21,2015-12-28,2018-08-24,AD8229032,2009-11-30,폐지,1
"플랜지, 파이프용",KDC (국방/약식),,육군,4730004064609,4730M51726249,"플랜지,파이프용",M48A3/A5,,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전차담당,,,1,2004-09-02,2022-10-13,2023-06-02,AD8761137,2023-04-27,폐지,2
"카바, 곡사포용",KDS (국방/정식),,방위사업청,,9999M52069365,155미리 곡사포 커버,155밀리 곡사포,,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,2,1974-12-16,2017-02-28,,7134630,2011-06-09,활성,3
패드,KDC (국방/약식),,육군,2540010314326,2540M52066396,덕트 조립체,"전차, 전투용, 무한궤도식(M48A3,M48A5 공통)",,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전차담당,,,1,2007-03-22,2007-03-20,2018-08-24,AD12252508,2009-11-30,폐지,1
"흙받기, 차량용",KDC (국방/약식),,육군,2540008576332,2540M51726235,"흙받기,차량용",K711,,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-특수차량담당,,,1,2009-09-24,2023-04-18,,AD8758160,2023-03-21,활성,2
"프레임,보강용",KDC (국방/약식),,육군,2540004172583,2540M51722571,"프레임,보강용","K711,K712,K713,K715",,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전술차량담당,,,2,2009-12-15,2023-04-18,,AD60900016,2023-03-21,활성,2
40미리 유탄용 휴대주머니,KDS (국방/정식),,국방과학연구소,,1310M51110317,40mm 유탄 휴대 주머니,40밀리 유탄발사기,,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,1,1989-08-17,2022-10-13,,3014-007-003,2009-10-28,활성,1
식품류 검사기준,KDS (국방/정식),,방위사업청,,8970M52068597,식품류검사기준,식품류 검사기준,,95.020,전체공개,방위사업청-식량류담당,미래전력사업표준자원관리팀-식량류담당,,STD-0003,1,2004-05-11,2018-03-19,2023-06-02,,2012-12-13,전환,2
덮개기관총용,KDS (국방/정식),,방위사업청,,9999M53784856,"덮개, 기관총용",구경30경기관총,,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,9,1985-09-26,2020-11-16,,,2011-05-02,활성,7
"덮개, M411",KDS (국방/정식),,방위사업청,1240006582822,1240M51383413,"덮개,M411","M41A1,M41A2",,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),, ,2,1974-12-27,1996-12-11,,6582822,2024-03-04,활성,4
패킹,KDC (국방/약식),,해군,,0000M51914831,패킹,비상소화펌프(DEP-60),,95.020,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-전투함담당,, ,2,2000-06-22,,,N97003159,2023-03-30,비활성,0
"어댑터, 기계식 뽑개용",KDC (국방/약식),,육군,5120001115319,5120M51719138,"어댑터,기계식 뽑게용","헬기,501MD정비공구",,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-헬기담당,,,1,2006-12-19,2021-08-02,,AD1115319,2011-01-20,활성,1
M79발사기수입솔끈,KDS (국방/정식),,방위사업청,0000004745465,0000M51036985,엠 79 방사,유탄발사기(M79),,"95.020, 59.080.99",전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,1,1974-12-16,2016-12-22,,1010-474-5465,2024-03-04,활성,3
