순번,지식재산권 명칭,출원구분,출원국,출원일자,출원번호,등록일자,등록번호
1,벨마우스,특허,대한민국,2021-11-08,10-2021-0152108,2023-12-29,10-2621165
2,경로 손실 정보를 획득하는 전자 장치의 동작 방법 및 이를 지원하는 전자 장치,특허,대한민국,2022-01-21,10-2022-0009182,2023-12-29,10-2621050
3,교전 수준 조절이 가능한 가상군을 위한 학습 방법및 이를 위한 전자 장치,특허,대한민국,2023-07-19,10-2023-0094168,2023-12-28,10-2620631
4,다중 가스 시험 평가 시스템 및 그 시험 방법,특허,대한민국,2021-09-06,10-2021-0118330,2023-12-27,10-2619892
5,페로브스카이트 전도체를 포함하는 투명 전도성 세라믹 적층체,특허,대한민국,2021-12-17,10-2021-0181494,2023-12-27,10-2619845
6,사건 정보 할당 방법 및 장치,특허,대한민국,2023-05-23,10-2023-0066567,2023-12-27,10-2620250
7,그래프 기반의 객체 인식방법 및 장치,특허,대한민국,2023-05-30,10-2023-0069422,2023-12-27,10-2620260
8,"3-다이나이트로메틸-5-니트라미노-1,2,4-트리아졸레이트(NDNT) 유도체의 제조방법 및 그에 의해 제조된 NDNT 유도체",특허,대한민국,2021-03-18,10-2021-0035261,2023-12-26,10-2619242
9,파이로 분리장치의 볼트 분리유닛,특허,대한민국,2021-09-17,10-2021-0124522,2023-12-26,10-2619334
10,"광-마이크로파 양자 얽힘 광자쌍 생성 장치 및 그 방법, 이를 이용한 양자 레이더",특허,대한민국,2020-12-01,10-2020-0166084,2023-12-22,10-2619166
11,링크 어셈블리 및 이를 포함하는 주행 보롯,특허,대한민국,2021-08-24,10-2021-0111668,2023-12-21,10-2618487
12,"유연체 기반 인체 근력 보조장치, 그 제어시스템 및 제어방법",특허,대한민국,2021-12-07,10-2021-0174056,2023-12-21,10-2618641
13,항공기의 제어를 위한 학습 방법 및 그 전자 장치,특허,대한민국,2023-05-17,10-2023-0063845,2023-12-20,10-2617826
14,항공기 제어를 위한 학습 방법 및 이를 위한 전자 장치,특허,대한민국,2023-05-17,10-2023-0063955,2023-12-20,10-2617794
15,항공기의 제어를 위한 학습 방법 및 그 전자 장치,특허,대한민국,2023-05-31,10-2023-0070253,2023-12-20,10-2617822
16,비행체 탑재 광학장비 지상 중첩 촬영 방법,특허,대한민국,2021-12-22,10-2021-0184684,2023-12-19,10-2616962
17,저가형 유도탄 접이식 날개 고정 및 분리장치,특허,대한민국,2023-07-19,10-2023-0093552,2023-12-19,10-2616963
18,공초점 반사 기기 및 이의 설계 방법,특허,대한민국,2021-06-23,10-2021-0081529,2023-12-18,10-2616705
19,신경망을 이용한 동역학 학습 모델의 불확실성 완화 시스템 및 방법,특허,대한민국,2023-05-30,10-2023-0069242,2023-12-18,10-2616364
20,"모방학습 장치, 모방학습 방법, 및 모방학습 방법을 수행하도록 프로그램된 컴퓨터 프로그램을 저장하는 컴퓨터 판독가능한 기록매체",특허,대한민국,2022-11-22,10-2022-0157167,2023-12-14,10-2615781
21,자율주행 차량의 물리적 특성을 반영한 인공신경망 기반 동역학 모델의 모델링 방법 및 모델 은닉층 내 잠재 변수들을 활용한 자율주행 제어 방법,특허,대한민국,2022-07-20,10-2022-0089622,2023-12-13,10-2614816
